,Unnamed: 0,西暦,年,県,自治体コード,市町村名,可燃ごみ収集形態
0,0,2007,h19,三重県,24201,津市,直営
1,1,2007,h19,三重県,24202,四日市市,直営
2,2,2007,h19,三重県,24203,伊勢市,直営
3,3,2007,h19,三重県,24204,松阪市,直営
4,4,2007,h19,三重県,24205,桑名市,直営
5,5,2007,h19,三重県,24207,鈴鹿市,委託
6,6,2007,h19,三重県,24208,名張市,"直営,委託"
7,7,2007,h19,三重県,24209,尾鷲市,委託
8,8,2007,h19,三重県,24210,亀山市,委託
9,9,2007,h19,三重県,24211,鳥羽市,委託
10,10,2007,h19,三重県,24212,熊野市,直営
11,11,2007,h19,三重県,24214,いなべ市,"直営,委託"
12,12,2007,h19,三重県,24215,志摩市,直営
13,13,2007,h19,三重県,24216,伊賀市,委託
14,14,2007,h19,三重県,24303,木曽岬町,委託
15,15,2007,h19,三重県,24324,東員町,委託
16,16,2007,h19,三重県,24341,菰野町,直営
17,17,2007,h19,三重県,24343,朝日町,直営
18,18,2007,h19,三重県,24344,川越町,直営
19,19,2007,h19,三重県,24441,多気町,委託
20,20,2007,h19,三重県,24442,明和町,直営
21,21,2007,h19,三重県,24443,大台町,委託
22,22,2007,h19,三重県,24461,玉城町,直営
23,23,2007,h19,三重県,24470,度会町,直営
24,24,2007,h19,三重県,24471,大紀町,委託
25,25,2007,h19,三重県,24472,南伊勢町,直営
26,26,2007,h19,三重県,24543,紀北町,委託
27,27,2007,h19,三重県,24561,御浜町,直営
28,28,2007,h19,三重県,24562,紀宝町,直営
29,29,2007,h19,京都府,26100,京都市,なし
30,30,2007,h19,京都府,26201,福知山市,委託
31,31,2007,h19,京都府,26202,舞鶴市,許可
32,32,2007,h19,京都府,26203,綾部市,委託
33,33,2007,h19,京都府,26204,宇治市,直営
34,34,2007,h19,京都府,26205,宮津市,委託
35,35,2007,h19,京都府,26206,亀岡市,委託
36,36,2007,h19,京都府,26207,城陽市,"直営,委託"
37,37,2007,h19,京都府,26208,向日市,"直営,委託"
38,38,2007,h19,京都府,26209,長岡京市,委託
39,39,2007,h19,京都府,26210,八幡市,直営
40,40,2007,h19,京都府,26211,京田辺市,"直営,委託"
41,41,2007,h19,京都府,26212,京丹後市,委託
42,42,2007,h19,京都府,26213,南丹市,直営
43,43,2007,h19,京都府,26214,木津川市,委託
44,44,2007,h19,京都府,26303,大山崎町,委託
45,45,2007,h19,京都府,26322,久御山町,直営
46,46,2007,h19,京都府,26343,井手町,"直営,委託"
47,47,2007,h19,京都府,26344,宇治田原町,直営
48,48,2007,h19,京都府,26364,笠置町,委託
49,49,2007,h19,京都府,26365,和束町,委託
50,50,2007,h19,京都府,26366,精華町,直営
51,51,2007,h19,京都府,26367,南山城村,委託
52,52,2007,h19,京都府,26407,京丹波町,直営
53,53,2007,h19,京都府,26463,伊根町,委託
54,54,2007,h19,京都府,26465,与謝野町,委託
55,55,2007,h19,佐賀県,41201,佐賀市,"直営,委託"
56,56,2007,h19,佐賀県,41202,唐津市,"直営,委託"
57,57,2007,h19,佐賀県,41203,鳥栖市,委託
58,58,2007,h19,佐賀県,41204,多久市,委託
59,59,2007,h19,佐賀県,41205,伊万里市,委託
60,60,2007,h19,佐賀県,41206,武雄市,委託
61,61,2007,h19,佐賀県,41207,鹿島市,委託
62,62,2007,h19,佐賀県,41208,小城市,直営
63,63,2007,h19,佐賀県,41209,嬉野市,委託
64,64,2007,h19,佐賀県,41210,神埼市,委託
65,65,2007,h19,佐賀県,41327,吉野ヶ里町,委託
66,66,2007,h19,佐賀県,41341,基山町,委託
67,67,2007,h19,佐賀県,41345,上峰町,委託
68,68,2007,h19,佐賀県,41346,みやき町,委託
69,69,2007,h19,佐賀県,41387,玄海町,直営
70,70,2007,h19,佐賀県,41401,有田町,委託
71,71,2007,h19,佐賀県,41423,大町町,委託
72,72,2007,h19,佐賀県,41424,江北町,委託
73,73,2007,h19,佐賀県,41425,白石町,委託
74,74,2007,h19,佐賀県,41441,太良町,委託
75,75,2007,h19,兵庫県,28100,神戸市,直営
76,76,2007,h19,兵庫県,28201,姫路市,"直営,委託"
77,77,2007,h19,兵庫県,28202,尼崎市,"直営,委託"
78,78,2007,h19,兵庫県,28203,明石市,"直営,委託"
79,79,2007,h19,兵庫県,28204,西宮市,"直営,委託"
80,80,2007,h19,兵庫県,28205,洲本市,委託
81,81,2007,h19,兵庫県,28206,芦屋市,直営
82,82,2007,h19,兵庫県,28207,伊丹市,委託
83,83,2007,h19,兵庫県,28208,相生市,直営
84,84,2007,h19,兵庫県,28209,豊岡市,委託
85,85,2007,h19,兵庫県,28210,加古川市,"直営,委託"
86,86,2007,h19,兵庫県,28212,赤穂市,直営
87,87,2007,h19,兵庫県,28213,西脇市,直営
88,88,2007,h19,兵庫県,28214,宝塚市,"直営,委託"
89,89,2007,h19,兵庫県,28215,三木市,"直営,委託,許可"
90,90,2007,h19,兵庫県,28216,高砂市,"直営,委託"
91,91,2007,h19,兵庫県,28217,川西市,"直営,委託"
92,92,2007,h19,兵庫県,28218,小野市,直営
93,93,2007,h19,兵庫県,28219,三田市,"直営,委託"
94,94,2007,h19,兵庫県,28220,加西市,"直営,委託"
95,95,2007,h19,兵庫県,28221,篠山市,委託
96,96,2007,h19,兵庫県,28222,養父市,直営
97,97,2007,h19,兵庫県,28223,丹波市,委託
98,98,2007,h19,兵庫県,28224,南あわじ市,直営
99,99,2007,h19,兵庫県,28225,朝来市,直営
100,100,2007,h19,兵庫県,28226,淡路市,委託
101,101,2007,h19,兵庫県,28227,宍粟市,委託
102,102,2007,h19,兵庫県,28228,加東市,直営
103,103,2007,h19,兵庫県,28229,たつの市,なし
104,104,2007,h19,兵庫県,28301,猪名川町,直営
105,105,2007,h19,兵庫県,28365,多可町,委託
106,106,2007,h19,兵庫県,28381,稲美町,委託
107,107,2007,h19,兵庫県,28382,播磨町,直営
108,108,2007,h19,兵庫県,28442,市川町,委託
109,109,2007,h19,兵庫県,28443,福崎町,委託
110,110,2007,h19,兵庫県,28446,神河町,委託
111,111,2007,h19,兵庫県,28464,太子町,なし
112,112,2007,h19,兵庫県,28481,上郡町,直営
113,113,2007,h19,兵庫県,28501,佐用町,直営
114,114,2007,h19,兵庫県,28585,香美町,直営
115,115,2007,h19,兵庫県,28586,新温泉町,委託
116,116,2007,h19,北海道,1100,札幌市,"直営,委託"
117,117,2007,h19,北海道,1202,函館市,直営
118,118,2007,h19,北海道,1203,小樽市,委託
119,119,2007,h19,北海道,1204,旭川市,委託
120,120,2007,h19,北海道,1205,室蘭市,委託
121,121,2007,h19,北海道,1206,釧路市,委託
122,122,2007,h19,北海道,1207,帯広市,"直営,委託"
123,123,2007,h19,北海道,1208,北見市,委託
124,124,2007,h19,北海道,1209,夕張市,なし
125,125,2007,h19,北海道,1210,岩見沢市,委託
126,126,2007,h19,北海道,1211,網走市,なし
127,127,2007,h19,北海道,1212,留萌市,委託
128,128,2007,h19,北海道,1213,苫小牧市,直営
129,129,2007,h19,北海道,1214,稚内市,なし
130,130,2007,h19,北海道,1215,美唄市,委託
131,131,2007,h19,北海道,1216,芦別市,なし
132,132,2007,h19,北海道,1217,江別市,委託
133,133,2007,h19,北海道,1218,赤平市,委託
134,134,2007,h19,北海道,1219,紋別市,なし
135,135,2007,h19,北海道,1220,士別市,なし
136,136,2007,h19,北海道,1221,名寄市,委託
137,137,2007,h19,北海道,1222,三笠市,なし
138,138,2007,h19,北海道,1223,根室市,委託
139,139,2007,h19,北海道,1224,千歳市,委託
140,140,2007,h19,北海道,1225,滝川市,委託
141,141,2007,h19,北海道,1226,砂川市,直営
142,142,2007,h19,北海道,1227,歌志内市,委託
143,143,2007,h19,北海道,1228,深川市,委託
144,144,2007,h19,北海道,1229,富良野市,委託
145,145,2007,h19,北海道,1230,登別市,委託
146,146,2007,h19,北海道,1231,恵庭市,委託
147,147,2007,h19,北海道,1233,伊達市,委託
148,148,2007,h19,北海道,1234,北広島市,なし
149,149,2007,h19,北海道,1235,石狩市,委託
150,150,2007,h19,北海道,1236,北斗市,委託
151,151,2007,h19,北海道,1303,当別町,委託
152,152,2007,h19,北海道,1304,新篠津村,委託
153,153,2007,h19,北海道,1331,松前町,委託
154,154,2007,h19,北海道,1332,福島町,委託
155,155,2007,h19,北海道,1333,知内町,委託
156,156,2007,h19,北海道,1334,木古内町,委託
157,157,2007,h19,北海道,1337,七飯町,委託
158,158,2007,h19,北海道,1343,鹿部町,委託
159,159,2007,h19,北海道,1345,森町,委託
160,160,2007,h19,北海道,1346,八雲町,委託
161,161,2007,h19,北海道,1347,長万部町,委託
162,162,2007,h19,北海道,1361,江差町,委託
163,163,2007,h19,北海道,1362,上ノ国町,委託
164,164,2007,h19,北海道,1363,厚沢部町,委託
165,165,2007,h19,北海道,1364,乙部町,委託
166,166,2007,h19,北海道,1367,奥尻町,委託
167,167,2007,h19,北海道,1370,今金町,委託
168,168,2007,h19,北海道,1371,せたな町,委託
169,169,2007,h19,北海道,1391,島牧村,委託
170,170,2007,h19,北海道,1392,寿都町,委託
171,171,2007,h19,北海道,1393,黒松内町,委託
172,172,2007,h19,北海道,1394,蘭越町,委託
173,173,2007,h19,北海道,1395,ニセコ町,委託
174,174,2007,h19,北海道,1396,真狩村,委託
175,175,2007,h19,北海道,1397,留寿都村,委託
176,176,2007,h19,北海道,1398,喜茂別町,委託
177,177,2007,h19,北海道,1399,京極町,委託
178,178,2007,h19,北海道,1400,倶知安町,委託
179,179,2007,h19,北海道,1401,共和町,委託
180,180,2007,h19,北海道,1402,岩内町,委託
181,181,2007,h19,北海道,1403,泊村,委託
182,182,2007,h19,北海道,1404,神恵内村,委託
183,183,2007,h19,北海道,1405,積丹町,委託
184,184,2007,h19,北海道,1406,古平町,委託
185,185,2007,h19,北海道,1407,仁木町,委託
186,186,2007,h19,北海道,1408,余市町,委託
187,187,2007,h19,北海道,1409,赤井川村,委託
188,188,2007,h19,北海道,1423,南幌町,委託
189,189,2007,h19,北海道,1424,奈井江町,委託
190,190,2007,h19,北海道,1425,上砂川町,直営
191,191,2007,h19,北海道,1427,由仁町,委託
192,192,2007,h19,北海道,1428,長沼町,委託
193,193,2007,h19,北海道,1429,栗山町,なし
194,194,2007,h19,北海道,1430,月形町,なし
195,195,2007,h19,北海道,1431,浦臼町,委託
196,196,2007,h19,北海道,1432,新十津川町,委託
197,197,2007,h19,北海道,1433,妹背牛町,委託
198,198,2007,h19,北海道,1434,秩父別町,委託
199,199,2007,h19,北海道,1436,雨竜町,委託
200,200,2007,h19,北海道,1437,北竜町,なし
201,201,2007,h19,北海道,1438,沼田町,委託
202,202,2007,h19,北海道,1439,幌加内町,直営
203,203,2007,h19,北海道,1452,鷹栖町,直営
204,204,2007,h19,北海道,1453,東神楽町,委託
205,205,2007,h19,北海道,1454,当麻町,委託
206,206,2007,h19,北海道,1455,比布町,委託
207,207,2007,h19,北海道,1456,愛別町,委託
208,208,2007,h19,北海道,1457,上川町,委託
209,209,2007,h19,北海道,1458,東川町,委託
210,210,2007,h19,北海道,1459,美瑛町,委託
211,211,2007,h19,北海道,1460,上富良野町,委託
212,212,2007,h19,北海道,1461,中富良野町,委託
213,213,2007,h19,北海道,1462,南富良野町,委託
214,214,2007,h19,北海道,1463,占冠村,なし
215,215,2007,h19,北海道,1464,和寒町,なし
216,216,2007,h19,北海道,1465,剣淵町,なし
217,217,2007,h19,北海道,1468,下川町,委託
218,218,2007,h19,北海道,1469,美深町,なし
219,219,2007,h19,北海道,1470,音威子府村,なし
220,220,2007,h19,北海道,1471,中川町,なし
