,Unnamed: 0,西暦,年,県,自治体コード,市町村名,可燃ごみ直営,可燃ごみ委託,可燃ごみ許可,可燃ごみなし
0,0,2007,h19,三重県,24201,津市,1,0,0,0
1,1,2007,h19,三重県,24202,四日市市,1,0,0,0
2,2,2007,h19,三重県,24203,伊勢市,1,0,0,0
3,3,2007,h19,三重県,24204,松阪市,1,0,0,0
4,4,2007,h19,三重県,24205,桑名市,1,0,0,0
5,5,2007,h19,三重県,24207,鈴鹿市,0,1,0,0
6,6,2007,h19,三重県,24208,名張市,1,1,0,0
7,7,2007,h19,三重県,24209,尾鷲市,0,1,0,0
8,8,2007,h19,三重県,24210,亀山市,0,1,0,0
9,9,2007,h19,三重県,24211,鳥羽市,0,1,0,0
10,10,2007,h19,三重県,24212,熊野市,1,0,0,0
11,11,2007,h19,三重県,24214,いなべ市,1,1,0,0
12,12,2007,h19,三重県,24215,志摩市,1,0,0,0
13,13,2007,h19,三重県,24216,伊賀市,0,1,0,0
14,14,2007,h19,三重県,24303,木曽岬町,0,1,0,0
15,15,2007,h19,三重県,24324,東員町,0,1,0,0
16,16,2007,h19,三重県,24341,菰野町,1,0,0,0
17,17,2007,h19,三重県,24343,朝日町,1,0,0,0
18,18,2007,h19,三重県,24344,川越町,1,0,0,0
19,19,2007,h19,三重県,24441,多気町,0,1,0,0
20,20,2007,h19,三重県,24442,明和町,1,0,0,0
21,21,2007,h19,三重県,24443,大台町,0,1,0,0
22,22,2007,h19,三重県,24461,玉城町,1,0,0,0
23,23,2007,h19,三重県,24470,度会町,1,0,0,0
24,24,2007,h19,三重県,24471,大紀町,0,1,0,0
25,25,2007,h19,三重県,24472,南伊勢町,1,0,0,0
26,26,2007,h19,三重県,24543,紀北町,0,1,0,0
27,27,2007,h19,三重県,24561,御浜町,1,0,0,0
28,28,2007,h19,三重県,24562,紀宝町,1,0,0,0
29,29,2007,h19,京都府,26100,京都市,0,0,0,1
30,30,2007,h19,京都府,26201,福知山市,0,1,0,0
31,31,2007,h19,京都府,26202,舞鶴市,0,0,1,0
32,32,2007,h19,京都府,26203,綾部市,0,1,0,0
33,33,2007,h19,京都府,26204,宇治市,1,0,0,0
34,34,2007,h19,京都府,26205,宮津市,0,1,0,0
35,35,2007,h19,京都府,26206,亀岡市,0,1,0,0
36,36,2007,h19,京都府,26207,城陽市,1,1,0,0
37,37,2007,h19,京都府,26208,向日市,1,1,0,0
38,38,2007,h19,京都府,26209,長岡京市,0,1,0,0
39,39,2007,h19,京都府,26210,八幡市,1,0,0,0
40,40,2007,h19,京都府,26211,京田辺市,1,1,0,0
41,41,2007,h19,京都府,26212,京丹後市,0,1,0,0
42,42,2007,h19,京都府,26213,南丹市,1,0,0,0
43,43,2007,h19,京都府,26214,木津川市,0,1,0,0
44,44,2007,h19,京都府,26303,大山崎町,0,1,0,0
45,45,2007,h19,京都府,26322,久御山町,1,0,0,0
46,46,2007,h19,京都府,26343,井手町,1,1,0,0
47,47,2007,h19,京都府,26344,宇治田原町,1,0,0,0
48,48,2007,h19,京都府,26364,笠置町,0,1,0,0
49,49,2007,h19,京都府,26365,和束町,0,1,0,0
50,50,2007,h19,京都府,26366,精華町,1,0,0,0
51,51,2007,h19,京都府,26367,南山城村,0,1,0,0
52,52,2007,h19,京都府,26407,京丹波町,1,0,0,0
53,53,2007,h19,京都府,26463,伊根町,0,1,0,0
54,54,2007,h19,京都府,26465,与謝野町,0,1,0,0
55,55,2007,h19,佐賀県,41201,佐賀市,1,1,0,0
56,56,2007,h19,佐賀県,41202,唐津市,1,1,0,0
57,57,2007,h19,佐賀県,41203,鳥栖市,0,1,0,0
58,58,2007,h19,佐賀県,41204,多久市,0,1,0,0
59,59,2007,h19,佐賀県,41205,伊万里市,0,1,0,0
60,60,2007,h19,佐賀県,41206,武雄市,0,1,0,0
61,61,2007,h19,佐賀県,41207,鹿島市,0,1,0,0
62,62,2007,h19,佐賀県,41208,小城市,1,0,0,0
63,63,2007,h19,佐賀県,41209,嬉野市,0,1,0,0
64,64,2007,h19,佐賀県,41210,神埼市,0,1,0,0
65,65,2007,h19,佐賀県,41327,吉野ヶ里町,0,1,0,0
66,66,2007,h19,佐賀県,41341,基山町,0,1,0,0
67,67,2007,h19,佐賀県,41345,上峰町,0,1,0,0
68,68,2007,h19,佐賀県,41346,みやき町,0,1,0,0
69,69,2007,h19,佐賀県,41387,玄海町,1,0,0,0
70,70,2007,h19,佐賀県,41401,有田町,0,1,0,0
71,71,2007,h19,佐賀県,41423,大町町,0,1,0,0
72,72,2007,h19,佐賀県,41424,江北町,0,1,0,0
73,73,2007,h19,佐賀県,41425,白石町,0,1,0,0
74,74,2007,h19,佐賀県,41441,太良町,0,1,0,0
75,75,2007,h19,兵庫県,28100,神戸市,1,0,0,0
76,76,2007,h19,兵庫県,28201,姫路市,1,1,0,0
